neighbourhood	algorithm	iterations	time	timeperiteration	value
RUN 1
small	hillClimbing	5	2	0.4	45234
small	firstChoice	5	1	0.2	43292
large	hillClimbing	8	35	4.375	57513
large	firstChoice	23	70	3.0434782608695654	58282

RUN 2
small	hillClimbing	6	2	0.3333333333333333	49404
small	firstChoice	7	2	0.2857142857142857	47176
large	hillClimbing	7	30	4.285714285714286	60030
large	firstChoice	20	60	3.0	60030

RUN 3
small	hillClimbing	4	2	0.5	39600
small	firstChoice	3	0	0.0	31816
large	hillClimbing	10	45	4.5	58282
large	firstChoice	25	75	3.0	60030

RUN 4
small	hillClimbing	7	2	0.2857142857142857	54215
small	firstChoice	6	1	0.16666666666666666	40812
large	hillClimbing	8	55	6.875	60102
large	firstChoice	21	65	3.0952380952380953	60030

RUN 5
small	hillClimbing	5	2	0.4	56204
small	firstChoice	4	1	0.25	43949
large	hillClimbing	4	17	4.25	59603
large	firstChoice	16	48	3.0	60030

RUN 6
small	hillClimbing	5	2	0.4	44338
small	firstChoice	6	1	0.16666666666666666	41429
large	hillClimbing	11	52	4.7272727272727275	60102
large	firstChoice	25	75	3.0	58282

RUN 7
small	hillClimbing	3	0	0.0	50054
small	firstChoice	2	1	0.5	44729
large	hillClimbing	8	32	4.0	60030
large	firstChoice	16	55	3.4375	60030

RUN 8
small	hillClimbing	6	2	0.3333333333333333	42939
small	firstChoice	6	1	0.16666666666666666	40443
large	hillClimbing	9	43	4.777777777777778	59324
large	firstChoice	25	93	3.72	58282

RUN 9
small	hillClimbing	1	1	1.0	48967
small	firstChoice	1	0	0.0	48967
large	hillClimbing	6	24	4.0	60102
large	firstChoice	10	32	3.2	59324

RUN 10
small	hillClimbing	2	0	0.0	43039
small	firstChoice	2	1	0.5	42864
large	hillClimbing	7	28	4.0	59572
large	firstChoice	14	41	2.9285714285714284	60030

RUN 11
small	hillClimbing	2	1	0.5	40794
small	firstChoice	2	0	0.0	40274
large	hillClimbing	7	30	4.285714285714286	59603
large	firstChoice	19	79	4.157894736842105	60030

RUN 12
small	hillClimbing	6	2	0.3333333333333333	53173
small	firstChoice	8	2	0.25	45376
large	hillClimbing	7	31	4.428571428571429	60030
large	firstChoice	19	60	3.1578947368421053	58282

RUN 13
small	hillClimbing	1	1	1.0	40466
small	firstChoice	1	0	0.0	40466
large	hillClimbing	7	28	4.0	56362
large	firstChoice	20	81	4.05	60030

RUN 14
small	hillClimbing	4	1	0.25	41963
small	firstChoice	4	1	0.25	41443
large	hillClimbing	8	34	4.25	58282
large	firstChoice	21	74	3.5238095238095237	58282

RUN 15
small	hillClimbing	8	3	0.375	47458
small	firstChoice	7	2	0.2857142857142857	30844
large	hillClimbing	12	51	4.25	60030
large	firstChoice	27	98	3.6296296296296298	58282

RUN 16
small	hillClimbing	8	3	0.375	56707
small	firstChoice	8	2	0.25	47920
large	hillClimbing	6	30	5.0	59581
large	firstChoice	18	95	5.277777777777778	58675

RUN 17
small	hillClimbing	6	2	0.3333333333333333	46301
small	firstChoice	5	1	0.2	33894
large	hillClimbing	10	41	4.1	58282
large	firstChoice	28	90	3.2142857142857144	60030

RUN 18
small	hillClimbing	5	2	0.4	34780
small	firstChoice	4	0	0.0	30282
large	hillClimbing	14	79	5.642857142857143	60102
large	firstChoice	29	88	3.0344827586206895	60030

RUN 19
small	hillClimbing	5	1	0.2	48178
small	firstChoice	6	2	0.3333333333333333	41791
large	hillClimbing	9	39	4.333333333333333	60102
large	firstChoice	16	48	3.0	60030

RUN 20
small	hillClimbing	1	0	0.0	25472
small	firstChoice	1	1	1.0	25472
large	hillClimbing	9	37	4.111111111111111	59405
large	firstChoice	20	59	2.95	57513

RUN 21
small	hillClimbing	7	2	0.2857142857142857	54187
small	firstChoice	8	2	0.25	47992
large	hillClimbing	8	38	4.75	60102
large	firstChoice	20	62	3.1	58282

RUN 22
small	hillClimbing	4	1	0.25	43299
small	firstChoice	3	1	0.3333333333333333	34870
large	hillClimbing	9	36	4.0	58282
large	firstChoice	26	107	4.115384615384615	58282

RUN 23
small	hillClimbing	4	2	0.5	41073
small	firstChoice	4	2	0.5	39872
large	hillClimbing	9	41	4.555555555555555	59603
large	firstChoice	25	108	4.32	60030

RUN 24
small	hillClimbing	6	2	0.3333333333333333	48614
small	firstChoice	8	2	0.25	45966
large	hillClimbing	9	45	5.0	60030
large	firstChoice	24	100	4.166666666666667	60030

RUN 25
small	hillClimbing	5	3	0.6	44907
small	firstChoice	4	2	0.5	35797
large	hillClimbing	9	46	5.111111111111111	58282
large	firstChoice	21	77	3.6666666666666665	60030

RUN 26
small	hillClimbing	3	1	0.3333333333333333	38514
small	firstChoice	3	2	0.6666666666666666	33252
large	hillClimbing	9	56	6.222222222222222	60030
large	firstChoice	22	94	4.2727272727272725	58282

RUN 27
small	hillClimbing	2	1	0.5	49949
small	firstChoice	2	1	0.5	49949
large	hillClimbing	6	46	7.666666666666667	59603
large	firstChoice	14	55	3.9285714285714284	59405

RUN 28
small	hillClimbing	5	1	0.2	47899
small	firstChoice	5	2	0.4	44240
large	hillClimbing	7	32	4.571428571428571	59603
large	firstChoice	19	67	3.526315789473684	60030

RUN 29
small	hillClimbing	3	1	0.3333333333333333	49945
small	firstChoice	4	1	0.25	42230
large	hillClimbing	8	37	4.625	60102
large	firstChoice	15	67	4.466666666666667	60030

RUN 30
small	hillClimbing	6	2	0.3333333333333333	51844
small	firstChoice	5	2	0.4	44612
large	hillClimbing	8	40	5.0	60030
large	firstChoice	19	67	3.526315789473684	59831

RUN 31
small	hillClimbing	3	0	0.0	42509
small	firstChoice	3	1	0.3333333333333333	42334
large	hillClimbing	9	46	5.111111111111111	60102
large	firstChoice	18	74	4.111111111111111	60030

RUN 32
small	hillClimbing	3	1	0.3333333333333333	37367
small	firstChoice	3	0	0.0	35474
large	hillClimbing	9	41	4.555555555555555	58282
large	firstChoice	26	133	5.115384615384615	60030

RUN 33
small	hillClimbing	2	1	0.5	43871
small	firstChoice	2	0	0.0	43871
large	hillClimbing	6	34	5.666666666666667	59324
large	firstChoice	18	66	3.6666666666666665	59324

RUN 34
small	hillClimbing	3	1	0.3333333333333333	40658
small	firstChoice	3	1	0.3333333333333333	40658
large	hillClimbing	9	41	4.555555555555555	60030
large	firstChoice	20	82	4.1	60030

RUN 35
small	hillClimbing	3	1	0.3333333333333333	44152
small	firstChoice	3	1	0.3333333333333333	44152
large	hillClimbing	8	34	4.25	58282
large	firstChoice	22	73	3.3181818181818183	60030

RUN 36
small	hillClimbing	3	1	0.3333333333333333	44240
small	firstChoice	2	1	0.5	40928
large	hillClimbing	8	33	4.125	60030
large	firstChoice	17	69	4.0588235294117645	58282

RUN 37
small	hillClimbing	5	2	0.4	46983
small	firstChoice	4	1	0.25	42773
large	hillClimbing	8	33	4.125	58282
large	firstChoice	23	91	3.9565217391304346	58282

RUN 38
small	hillClimbing	8	2	0.25	43454
small	firstChoice	8	2	0.25	33980
large	hillClimbing	11	51	4.636363636363637	60102
large	firstChoice	32	125	3.90625	58282

RUN 39
small	hillClimbing	3	1	0.3333333333333333	47120
small	firstChoice	4	1	0.25	45656
large	hillClimbing	8	34	4.25	60030
large	firstChoice	16	48	3.0	60030

RUN 40
small	hillClimbing	2	1	0.5	45979
small	firstChoice	3	0	0.0	46925
large	hillClimbing	8	34	4.25	60102
large	firstChoice	17	52	3.0588235294117645	58282

RUN 41
small	hillClimbing	4	1	0.25	52774
small	firstChoice	4	1	0.25	52128
large	hillClimbing	7	30	4.285714285714286	60102
large	firstChoice	17	52	3.0588235294117645	58282

RUN 42
small	hillClimbing	4	2	0.5	45103
small	firstChoice	3	0	0.0	43593
large	hillClimbing	8	39	4.875	58282
large	firstChoice	16	56	3.5	60030

RUN 43
small	hillClimbing	2	1	0.5	42581
small	firstChoice	2	0	0.0	42581
large	hillClimbing	9	37	4.111111111111111	60102
large	firstChoice	19	63	3.3157894736842106	58282

RUN 44
small	hillClimbing	6	1	0.16666666666666666	46140
small	firstChoice	4	0	0.0	34527
large	hillClimbing	9	39	4.333333333333333	59831
large	firstChoice	25	95	3.8	58282

RUN 45
small	hillClimbing	8	2	0.25	43867
small	firstChoice	8	2	0.25	32697
large	hillClimbing	12	89	7.416666666666667	60102
large	firstChoice	32	95	2.96875	60030

RUN 46
small	hillClimbing	4	1	0.25	47699
small	firstChoice	5	1	0.2	47612
large	hillClimbing	9	49	5.444444444444445	59581
large	firstChoice	17	55	3.235294117647059	57513

RUN 47
small	hillClimbing	5	1	0.2	47711
small	firstChoice	4	1	0.25	44286
large	hillClimbing	9	50	5.555555555555555	60102
large	firstChoice	18	75	4.166666666666667	60030

RUN 48
small	hillClimbing	3	1	0.3333333333333333	45308
small	firstChoice	3	1	0.3333333333333333	43012
large	hillClimbing	8	33	4.125	60030
large	firstChoice	21	68	3.238095238095238	58282

RUN 49
small	hillClimbing	4	1	0.25	53643
small	firstChoice	6	1	0.16666666666666666	50337
large	hillClimbing	6	28	4.666666666666667	60102
large	firstChoice	14	44	3.142857142857143	60030

RUN 50
small	hillClimbing	3	1	0.3333333333333333	34757
small	firstChoice	3	0	0.0	34237
large	hillClimbing	9	39	4.333333333333333	60102
large	firstChoice	24	76	3.1666666666666665	60030

RUN 51
small	hillClimbing	5	1	0.2	51090
small	firstChoice	7	2	0.2857142857142857	46884
large	hillClimbing	8	37	4.625	58282
large	firstChoice	21	68	3.238095238095238	60030

RUN 52
small	hillClimbing	2	1	0.5	26016
small	firstChoice	2	0	0.0	26016
large	hillClimbing	11	46	4.181818181818182	58282
large	firstChoice	31	129	4.161290322580645	60030

RUN 53
small	hillClimbing	4	1	0.25	43064
small	firstChoice	4	1	0.25	41379
large	hillClimbing	10	47	4.7	60102
large	firstChoice	21	63	3.0	58282

RUN 54
small	hillClimbing	7	2	0.2857142857142857	47505
small	firstChoice	9	2	0.2222222222222222	43209
large	hillClimbing	9	39	4.333333333333333	58282
large	firstChoice	23	69	3.0	60030

RUN 55
small	hillClimbing	2	0	0.0	41524
small	firstChoice	2	1	0.5	39631
large	hillClimbing	9	37	4.111111111111111	60030
large	firstChoice	18	60	3.3333333333333335	58282

RUN 56
small	hillClimbing	3	1	0.3333333333333333	44525
small	firstChoice	2	0	0.0	36096
large	hillClimbing	9	42	4.666666666666667	58282
large	firstChoice	21	68	3.238095238095238	60030

RUN 57
small	hillClimbing	4	1	0.25	52043
small	firstChoice	4	1	0.25	45006
large	hillClimbing	9	40	4.444444444444445	60102
large	firstChoice	17	53	3.1176470588235294	60030

RUN 58
small	hillClimbing	3	1	0.3333333333333333	44594
small	firstChoice	4	1	0.25	44212
large	hillClimbing	8	35	4.375	60030
large	firstChoice	20	64	3.2	58282

RUN 59
